Member ID,Shack Name,Hourly Income,Shifts Worked,Weekly Shifts,Tips Collected,Total Donations,Happiness
598271677301915658,tAcO,30500,603,4,870,118171737,.75
600466417770561547,Japanese War Crime Simulator,22540,72,1,82,790000,.5
607328825352781837,angel,13360,21,0,23,60000,.5
615819001678790656,Trap Tacos,40105,877,4,1004,1620000,.5
637398646870245396,Vet Clinic,47150,683,6,837,4950000,.75
644663482649673728,Taco,36775,605,3,839,2822400,.75
645251419695218698,Jalapeno Shack,42110,957,1,1116,116035000,.75
648998447751626762,ganyu fan club,12425,62,0,66,13610000,0
653784462861271044,Loco for Taco,34890,2480,0,3401,5300000,.5
663216246535487493,Chirinis Taquitos,23790,135,1,183,300000,1
664422286765588521,free food,43630,550,25,641,0,1
669630829126877216,buceta california,44700,625,0,758,1540000,.5
670464544090619904,sheep wonderland,35810,1449,13,1551,1610099,.75
679281398279831582,El Midlands,24955,263,1,393,320000,.5
681247677673242673,Hooters,16610,119,25,149,107811,.75
681638096877649988,Carlitos Tacos,38255,371,1,423,200000000,1
685448321392705547,milk restaurant,17090,201,0,221,226000,.5
686325743491481715,Amigos Tacos,23995,281,48,341,290000,1
690219393585905685,Frenzy,17355,45,39,57,41000,1
690288947690995716,thicc tacos,47400,2565,50,2837,76620000,1
692394630699941919,Subway Sandwiches,22170,112,1,137,180000,1
695518297168281640,Tacoona Matata,48650,12479,165,20398,1342767890,1
696433067077664821,bucket of chum,23390,144,2,128,310000,1
696745853012017242,JoeLiewShack,48050,4151,48,4886,94940000,1
697784435214516278,John Astherson,47700,4718,229,7007,187108946,1
699027776744718367,Pog shack,33910,331,1,372,697969,.5
702190716989866095,Out of stock tacos,33825,762,0,1003,25924606,.5
704741165064257609,pizza,12235,6,0,3,0,0
704992155080327169,WE EAT CHILDREN,30400,448,0,581,220000,.5
708145069407862824,Raj Imperial Taco,35805,713,0,1030,1470000,0
708173299351420979,JJ Taco Shac,34050,1269,323,2124,20267295,1
711320786081939507,BEANS TACOS,42000,980,4,1201,0,1
713074263535517696,Joeseph Mother,21270,87,0,95,282913,0
713342804914602015,Kedai Limau Purut,44175,1923,5,2506,25097788,.75
713595876924457010,Yondu Taco,43550,1381,115,1572,12560000,1
714897491035947008,Meat Sweats,39960,270,4,311,2985000,1
715386433975746582,Drip,18440,110,1,122,19550000,1
716057001226141766,bean tacos,22455,320,0,387,330000,0
718323132993110076,Yummy tacos,47250,4045,15,5319,246050000,.75
724556775306559520,dTako,27735,330,175,411,290000,1
731242254059962368,Casa da Pilha,21465,60,0,63,51000,.5
735809847466917948,fat boizz,23605,275,1,372,420000,.5
736032304589439016,Dabelmint Taco,47050,1979,45,2295,2080000,1
741443711140888716,Uncle,27985,118,2,123,0,.75
745727507743113237,wild wido tacos,30430,236,0,296,189100,0
746155509975089222,South Harbor,48050,3853,75,6056,9354000,1
746900471381491873,Dia,23815,302,15,303,23001010,1
750188900055515208,Tau Family Tacos Sdn Bhd,47050,1318,3,1415,114300000,.75
753185416709931109,Tic Taco,21405,85,0,85,300000,.5
753220106028580914,Osu,47050,1224,2,1348,1784000,1
753484820033699940,Lucy Mapache uwu,35915,632,1,777,59810000,.75
754513008733978705,Tacoco hehe,35805,620,9,798,20000,.75
754892980279836722,Llama Tacos,30115,89,0,93,940000,.75
757301448781594646,Andres Bonitacos,36470,313,8,345,2810000,.75
759031411251609620,hehe,33695,723,0,916,790000,.5
759761320546926694,CrIPPLING DEBT,13570,41,0,43,0,.5
760961417054257153,AuroraTacos,34785,632,0,691,2132020,.5
762366076398075914,Humble Crib,18085,129,0,175,390000,0
762526280435367986,Winner Winner Taco Dinner,47700,8080,706,14697,413776065,1
762618044740009984,mikewheeler,11900,205,29,292,85000,0
765185064894988288,taco bell,46485,2709,10,3200,8761476,1
765653724776759316,the house of jess,28510,254,7,276,91000,1
766708138224648193,best tacos in the city,42470,845,1,1234,107516676,1
766921324786089984,That awesome taco place,47650,8200,210,12495,616170000,1
771902354815582268,Feelove Shack,22305,258,173,369,296000,1
773211460128997406,Horny Asada,31110,254,5,266,3455000,1
775145885486678028,Random Tacos,30605,958,24,1172,1360000,1
776147923615612979,flowergam,33610,736,0,980,1410000,.5
779143066057179138,Karebears tacos,12080,6,0,5,0,0
779506612703985674,RoGamer10,14385,152,1,209,0,1
780327786862346251,PROBOMBERS Shack,17470,78,72,121,150000,.75
780473773668827136,Buns and Beans,36365,1540,0,2589,16581000,0
784411217845813328,Turbo Tacos,24115,257,4,297,1240000,1
785105951900172309,THE STICK SHACK,33775,116,10,133,673966,1
785575054418771988,TacoShell,43880,2312,112,2424,375613,1
789296622752235603,vanananananananana,42125,431,0,635,1090000,0
795062716191866950,taco bell,31880,1058,2,1213,0,.75
795796269209616414,Charcoal Taco Shack,40315,2917,58,3153,6200000,1
795968489588260915,helo hru im unda da wota pls,33540,651,7,794,3660935,.75
799641623381934110,pwetiiecake,22910,138,0,155,700000,.5
800678639078998057,KerKerKer Airlines Restaurant,31690,2128,64,3246,2440100,.75
813071181582041108,media Luna,29460,837,0,1440,2215000,0
819075615197233203,toxic sludge shed,30615,811,31,935,2930000,1
819389319030636565,Ketchup in Another Life,48800,19313,161,31152,1230000000,1
823742159261794356,Plan B,22625,136,0,125,460000,.5
823813801480028180,kakka da dhabba,38680,206,9,279,1110509,1
824255163560755251,Tacoess,43295,3091,72,5151,24872624,.75
825128145182392370,my taco shack,29825,218,0,269,100000,.5
825239682480078848,TACOCAT,48650,17163,318,31844,819485053,1
826470700603670600,ummamande chayakada,37665,492,4,511,15060000,1
826990744270667786,TACOYEAH,18435,351,135,471,365000,1
827133334764257320,grievous,25795,159,0,190,580000,1
827929481854451793,mangekyo sharingan taco,24390,226,0,347,300000,.5
835073999050113065,shack taco,19440,151,0,217,0,0
835761549045137469,Calyplexx,47650,1364,11,2327,12507296,1
836519845398970400,Tabi,31840,430,29,514,13476585,1
836816493954072577,Nush,47200,2199,45,2952,101259012,1
840958618689601558,Tamecover,47100,758,1,881,67576394,.75
844458414586724362,Rangi,47450,4518,124,5870,571178771,1
845112388322590721,Day,14180,44,0,41,0,.5
846290383276212225,best tacos,38820,2073,0,3561,1513000,.75
848212522892001311,beYOUtiful,48050,3159,107,4675,38611000,1
848776612774281216,Deltaco,30865,235,0,361,850000,0
848869407295012875,Taco Central,39405,907,0,970,1930000,1
849571699723730964,TaKo KoKo,47250,4231,36,6701,271831320,.75
852648731278442536,Taquitos e Burritos,46950,2570,47,2879,7781009,1
854249356587434024,Liezl,47140,1290,1,1812,3250000,.5
857826149728387082,Turtles Salad Warehouse,36630,1013,10,1080,3730000,.75
860086745143443457,U S S Samurai,47650,2496,46,3433,455806443,1
860674186707992607,taco place,21780,106,68,136,0,1
863675264759627796,Waifu Company,16340,58,48,57,100000,.75
867164827183743007,Anna,22830,801,26,1132,6210000,.75
867418299397701652,otto,15895,155,2,174,0,.75
868672800158806058,Dzam Taco,26935,232,1,256,17110000,1
869605072554836038,spanjolie,18310,51,0,56,300000,0
869837616768503829,Taco Bell,47650,5279,101,7879,144265956,1
870653627918864425,Tiki Taco,37605,1388,1,1882,34146000,.75
875752796673171477,Semkes Restoranas,32445,258,3,293,50180100,.5
877028638141333524,taco pros,12065,125,1,125,0,.5
877191322145022003,Never Gonna Give You Up,47400,5206,0,9105,363259310,0
879255458299383809,Bhavya Jain,32300,352,8,582,13000000,1
880351718980849704,Mytacos,47400,1516,48,1758,36976382,1
880729807875346432,Taco Pit,17330,51,1,82,70000,.75
881426276722802689,MLs restaurant,28435,231,1,303,22450000,.5
882163962458812446,Witch,36990,754,0,975,21883829,.5
883251197509795850,Taco Bell,25030,353,97,510,400000,1
884107000282234890,Peralta,30450,716,19,847,1160000,1
884834980566560789,goodytacos,16615,121,0,143,150000,.5
884889034432868392,Krazy Tako,30300,278,5,350,5003146,.75
885008343301750855,Supreme tacos,25850,122,0,153,1800000,.5
885011387842183219,Taqueria Gay,42985,915,8,1189,4485000,.75
891411179694600293,Paedro Tacos,30105,393,6,578,570000,.75
891850766766178344,chlorisha lee,19315,90,50,109,411843,.75
892785619074441216,619goose,11050,100,7,110,0,1
893230799338500096,kizasheeeessh,47400,2715,52,3178,6252107,.75
895511335989821520,Shakey Shack Tacos,44980,1559,65,2223,13295000,1
895897586530127922,Suspended by School,31205,150,5,159,0,1
897740441867411466,Buritacolladaros,19960,140,80,148,250000,1
900290767787032576,anitacos,29500,184,25,264,16150100,.75
901482451271036938,dont but tacos here,13235,26,26,34,50000,.75
906298252712882286,an shack,25205,3675,148,4946,3154489,1
910438087186841651,Turbo Subway,22465,118,0,141,903215,.5
910770870757232640,papas tacoria,31370,461,42,545,130000,1
911356279719624757,Takahsu,20200,125,0,135,0,.5
919834571514720286,Temmies Tasty Taco Town,26835,127,1,144,60000,.75
920117865095520357,woman molester,12935,24,0,25,0,.5
923487047476445226,onyanco,33590,148,0,159,414078,1
930594254437371964,Sussy Taco,17555,47,47,46,140100,1
932939302168571934,missing taco,17860,64,2,82,160000,.75
944717973321568276,Tacos,13035,44,39,54,40000,1
945848633536950345,COOLKAYTACOS,11050,19,2,19,15546255,.75
947105703590518885,Cursed,13170,173,130,228,250000,1
953988485285576714,me nubb,31690,478,249,678,310000,1
958263538374311966,very random,17700,94,39,146,210000,1
